Date Announced (dateann),Unique DEAL ID (master_deal_no),Target Name (tmanames),Acquiror Name (amanames),Acquiror is a Financial Sponsor (Yes/No Flag) (afinancial),Acquiror is a Leverage Buyout Firm (albofirm),Acquiror is a Limited Partnership Flag (alp),Deal Attitude (attitude),Deals is a Divestiture Flag (divest),Division (division),Form of transaction (form),Percentage of consideration paid in cash (pct_cash),Percentage of consideration paid in other then cash or stock (p,Percentage of consideration paid in stock (pct_stk),Percentage of consideration which is unknown (pct_unknown),Percentage of Shares Sought (psought),Percentage of Shares Acquiror is Seeking to Own After Transacti,Related Deals Flag (rd),Deal is a Repurchase Flag (repurch),Source of Funds Borrowing Flag (sfbor),Source of Funds Common Stock Issue Flag (sfcom),Financing via Internal Corporate Funds Flag (sfcorp),Financing via Debt Securities Flag (sfdebt),Financing via Line of Credit Flag (sflc),Deal Status (status),Ranking Value incl Net Debt of Target (USD Mil) (rankval),TR Acquiror Industry Description (atf_mid_desc),TR Target Industry Description (ttf_mid_desc),TR Acquiror Macro Description (atf_macro_desc),TR Target Macro Description (ttf_macro_desc),Acquiror Nation (anation),Acquiror Nation Code (anationcode),Target Nation (tnation),Target Nation Code (tnationcode),Target Public Status (tpublic),Acquiror Public Status (apublic),deal_value,Enterprise Value ($mil) (entval),Equity Value ($mil) (eqval),Price Per Share (pr),Target Sales LTM ($mil) (salesltm),Target EBIT LTM ($mil) (ebitltm),Target Pre-Tax Income LTM ($mil) (ptincltm),Target Net Income LTM ($mil) (niltm),Target Net Assets ($mil) (netass),Target Total Assets ($mil) (tass),Target Cash Flow LTM ($mil) (cashflow),Target Book Value ($mil) (bookvalue),Target Common Equity ($mil) (commonequity),Target Earnings Per Share ($mil) (epsltm),Target Closing Stock Price 1 day Prior to Deal Announcement Day,Target Closing Stock Price 1 week Prior to Deal Announcement Da,Target Closing Stock Price 4 weeks Prior to Deal Announcement D,Consideration Offered (considoff),Consideration Sought (considsought),Vix,Interest rates,GDP growth,Healthcare growth,Covid19 
27.10.2015,2814903020,Perseon Corp,Galil Medical Inc,No,No,No,Friendly,No,No,Merger,100,0,0,0,100,100,No,No,No,No,Yes,No,No,1,4.171,Healthcare Equipment & Supplies,Healthcare Equipment & Supplies,Healthcare,Healthcare,United States,US,United States,US,Public,Priv.,9.766,,3.969,1,3.348,-11.195,-11.3,-11.3,7.1,8.9,-11.152,1.8,7.087,-2.8484,0.27,0.305,0.33,"Cash, Cash Only",Common Stock,16.9,0.25,3.1,5.5,0
15.02.2023,4040436040,CU Medical Systems Inc,Xcure Corp,No,No,No,Neutral,No,No,Acq. Part. Int.,100,0,0,0,10.5,13.9,No,No,No,No,No,No,No,0,9.823,Semiconductors,Healthcare Equipment & Supplies,High Technology,Healthcare,South Korea,SK,South Korea,SK,Public,Public,9.823,104.791,94.706,,37.241,8.685,8,7.3,46.7,69.9,10.297,1,46.287,0.1598,1.124,1.117,1.083,Cash Only,Ordinary Share,21.7,5.33,2.9,7.5,0
08.04.2016,2969440040,Westfield Medical Ltd,Investor Group,No,No,No,Friendly,Yes,No,Merger,100,100,0,0,100,100,No,No,No,No,No,No,No,0,13.84,Other Financials,Healthcare Equipment & Supplies,Financials,Healthcare,United Kingdom,UK,United Kingdom,UK,Sub.,Priv.,9.839,15.468,10.996,,22.442,1.348,2,1.7,1.8,12.1,1.663,,1.799,,,,,"Cash Only, Cash Only",Stock,14,0.75,1.6,4.8,0
07.06.2021,3751987020,Retractable Technologies Inc,Retractable Technologies Inc,No,No,No,Not Appl.,No,No,Buyback,100,0,0,0,,,No,Yes,No,No,No,No,No,1,10,Healthcare Equipment & Supplies,Healthcare Equipment & Supplies,Healthcare,Healthcare,United States,US,United States,US,Public,Public,10,,,,120.734,47.011,50.3,41.9,67.8,138.4,47.843,2,67.582,1.3249,10.07,9.09,9.39,Cash Only,Common Stock,17.2,0.25,5.7,3.9,0
13.05.2021,3750039040,Techno Medica Co Ltd,Autonics,No,No,No,Friendly,No,No,Acq. Part. Int.,100,0,0,0,8.2,11.4,No,No,No,No,No,No,No,0,10.089,Electronics,Healthcare Equipment & Supplies,High Technology,Healthcare,Japan,JP,Japan,JP,Public,Priv.,10.089,31.166,122.752,14.55,81.663,14.524,14.9,10.4,135.1,158.6,15.615,15.9,135.141,1.2266,14.555,14.796,15.542,Cash Only,Ordinary Share,17.2,0.25,5.7,3.9,0
13.08.2015,2942884040,Jaeyoung Solutec Co Ltd,KI Investment Co Ltd,No,No,No,Friendly,No,No,Acq. Part. Int.,0,0,0,100,18.6,18.6,No,No,No,No,No,No,No,0,10.236,Other Financials,Healthcare Equipment & Supplies,Financials,Healthcare,South Korea,SK,South Korea,SK,Public,Priv.,10.236,119.084,57.674,,157.874,7.498,7.1,5.4,27.7,127.5,11.69,0.8,26.817,0.1618,1.373,1.514,1.51,"Cash Only, Cash Only",Convertible Bond,16.9,0.25,3.1,5.5,0
10.11.2016,3034811040,Pacific Safety Products Inc,Med-Eng Holdings ULC,No,No,No,Friendly,No,No,Merger,100,0,0,0,100,100,No,No,No,No,No,No,No,0,10.488,Other Industrials,Healthcare Equipment & Supplies,Industrials,Healthcare,Canada,CA,Canada,CA,Public,Sub.,10.404,10.488,10.404,0.16,15.583,0.404,0.4,1.6,4,4.8,0.526,0.1,4.012,0.0247,0.127,0.127,0.129,"Cash, Cash Only",Common Stock,14,0.75,1.6,4.8,0
10.03.2023,4050430040,FALCO HOLDINGS Co Ltd,BML Inc,No,No,No,Friendly,No,No,Acq. Part. Int.,100,0,0,0,6.7,6.7,Yes,No,No,No,No,No,No,0,10.484,Healthcare Equipment & Supplies,Healthcare Equipment & Supplies,Healthcare,Healthcare,Japan,JP,Japan,JP,Public,Public,10.484,106.543,163.64,14.98,377.118,32.164,32.6,19.4,188.3,292.3,39.951,17.9,188.323,1.8572,14.977,14.692,14.892,Cash Only,Ordinary Share,21.7,5.33,2.9,7.5,0
04.05.2022,3916922040,Hmc Premedical SpA,Credem Private Equity SGR SpA,Yes,No,No,Friendly,No,No,Acq. Part. Int.,0,100,0,0,,,No,No,No,No,No,No,No,0,10.52,Alternative Financial Investments,Healthcare Equipment & Supplies,Financials,Healthcare,Italy,IT,Italy,IT,Priv.,Sub.,10.52,,,,33.401,4.476,4.2,3.1,26.2,57.7,6.67,,26.249,,,,,Cash Only,Stock,22.5,4.25,2.1,4.5,0
22.05.2019,3396388040,Cowealth (China) Med Tech Co,Investor Group,No,No,No,Friendly,No,No,Acq. Part. Int.,0,100,0,0,,,No,No,No,No,No,No,No,0,10.579,Other Financials,Healthcare Equipment & Supplies,Financials,Healthcare,China,CH,China,CH,Sub.,Priv.,10.579,,,,131.53,13.964,13.5,9.7,54.5,114.7,17.618,0.1,54.508,0.0244,,,,"Cash Only, Cash Only",Stock,13.8,1.75,2.3,4.6,0
09.10.2014,2684304040,Techcomp (Holdings) Ltd,Investor Group,No,No,No,Friendly,No,No,Acq. Part. Int.,100,0,0,0,13,13,No,No,No,No,No,No,No,0,10.792,Other Financials,Healthcare Equipment & Supplies,Financials,Healthcare,Hong Kong,HK,Hong Kong,HK,Public,Priv.,10.792,104.668,71.998,0.31,166.885,3.574,3.2,3.3,68.9,141.3,6.966,0.3,67.262,0.014,0.327,0.29,0.244,"Cash Only, Cash Only",Newly Issued Ord Sh,16.6,0.25,2.5,5.5,0
30.09.2024,4295328040,Jiangsu Apon Med Tech Co Ltd,Beijing Zhanghong Private Eq,Yes,Yes,No,Neutral,No,No,Acq. Part. Int.,100,0,0,0,5.6,5.6,No,No,No,No,Yes,No,No,0,10.872,Alternative Financial Investments,Healthcare Equipment & Supplies,Financials,Healthcare,China,CH,China,CH,Public,Priv.,10.872,183.09,193.986,1.54,57.06,2.341,2.2,0.7,99.4,119.8,5.723,0.8,98.583,0.006,1.762,1.569,1.668,Cash Only,Ordinary Share,15.5,4.5,2.8,7,0
27.08.2018,3281203040,Paragon Care Ltd,China Pioneer Pharma Hldg Ltd,No,No,No,Friendly,No,No,Acq. Part. Int.,100,0,0,0,4.9,4.9,Yes,No,No,No,No,No,No,0,10.986,Pharmaceuticals,Healthcare Equipment & Supplies,Healthcare,Healthcare,China,CH,Australia,AU,Public,Public,10.986,237.759,191.06,0.67,101.22,11.75,10.1,8.1,125.9,258.9,13.501,0.4,125.939,0.0399,0.568,0.576,0.6,"Cash Only, Cash Only",Newly Issued Ord Sh,15.5,2.5,2.9,4.4,0
10.09.2024,4294863040,Intrauma SPA,Fondo Italiano d'Investimento,Yes,Yes,No,Friendly,No,No,Acq. Part. Int.,0,100,0,0,,,No,No,No,No,No,No,No,0,11.034,Alternative Financial Investments,Healthcare Equipment & Supplies,Financials,Healthcare,Italy,IT,Italy,IT,Priv.,Sub.,11.034,33.74,27.582,,18.778,0.576,0.3,0.1,5.5,23.7,1.229,,5.537,,,,,Cash Only,Stock,15.5,4.5,2.8,7,0
05.06.2024,4242429040,Double Medical Technology Inc,Lin Zhixiong,No,No,No,Neutral,No,No,Acq. Part. Int.,100,0,0,100,20,20.8,No,No,No,No,No,No,No,0,11.324,Other Financials,Healthcare Equipment & Supplies,Financials,Healthcare,China,CH,China,CH,Public,Inv.,11.324,,56.768,0.14,216.942,11.378,15.2,12.6,447,639.7,38.3,1,431.882,0.0209,3.935,3.999,4.409,Cash Only,Ordinary Share,15.5,4.5,2.8,7,0
18.12.2023,4170500040,Clinomics Inc,CD Bio Co Ltd,No,No,No,Friendly,No,No,Acq. Part. Int.,100,0,0,0,16.2,16.2,No,No,No,No,No,No,No,1,11.337,Healthcare Equipment & Supplies,Healthcare Equipment & Supplies,Healthcare,Healthcare,South Korea,SK,South Korea,SK,Public,Priv.,11.337,80.852,71.584,1.84,8.813,-26.667,-32.8,-32.8,30.1,57.5,-23.383,0.9,29.846,-1.2137,2.211,1.922,1.776,"Cash, Cash","Convertible Bond, Convertible Bond",21.7,5.33,2.9,7.5,0
16.07.2020,3610076040,Grand Vision Optics Versport,Formentor Capital Partners,Yes,No,No,Friendly,No,No,Acq. Maj. Int.,0,100,0,0,70,70,No,No,No,No,No,No,No,0,11.41,Alternative Financial Investments,Healthcare Equipment & Supplies,Financials,Healthcare,Spain,SP,Spain,SP,Priv.,Priv.,11.41,17.898,16.014,,9.758,1.46,1.3,1,2.2,6.2,1.531,,2.176,,,,,"Cash Only, Cash Only",Stock,26.9,0.25,-3.4,9.7,1
21.02.2024,4196974040,TES Touch Embedded Solutions,TES Touch Embedded Solutions,No,No,No,Not Appl.,No,No,Buyback,100,0,0,0,,,No,Yes,No,No,Yes,No,No,0,11.478,Healthcare Equipment & Supplies,Healthcare Equipment & Supplies,Healthcare,Healthcare,China,CH,China,CH,Public,Public,11.478,,,,188.344,27.86,32.6,25.1,225.6,276.9,31.446,1.4,225.621,0.1538,2.655,0,2.646,Cash Only,Ordinary Share,15.5,4.5,2.8,7,0
28.10.2021,3821074040,Digital Optics Co Ltd,Pipeoru Co Ltd,No,No,No,Friendly,No,No,Acq. Part. Int.,0,0,0,100,25,25,No,No,No,No,No,No,No,1,11.758,Other Financials,Healthcare Equipment & Supplies,Financials,Healthcare,South Korea,SK,South Korea,SK,Public,Priv.,11.758,50.86,34.826,2.63,21.141,-20.639,-36.4,-35.8,7.9,49.8,-11.833,0.8,10.296,-1.307,4.778,4.823,4.661,"Cash, Cash","Newly Issued Ord Sh, Newly Issued Ord Sh",17.2,0.25,5.7,3.9,0
03.10.2023,4149433040,Apriomed Ab,IZI Medical Products Inc,No,No,No,Friendly,No,No,Acq. of Assets,0,100,0,0,100,100,No,No,No,No,No,No,No,0,11.775,Healthcare Equipment & Supplies,Healthcare Equipment & Supplies,Healthcare,Healthcare,United States,US,Sweden,SW,Priv.,Sub.,11.775,,,,3.206,0.97,1,0.8,2.4,2.6,0.99,,2.435,,,,,Cash Only,Assets,21.7,5.33,2.9,7.5,0
29.04.2021,3735358040,Adherium Ltd,Respiri Ltd,No,No,No,Hostile,No,No,Merger,0,0,100,0,100,100,No,No,No,No,No,No,No,1,8.237,Healthcare Equipment & Supplies,Healthcare Equipment & Supplies,Healthcare,Healthcare,Australia,AU,New Zealand,NZ,Public,Public,11.793,4.215,7.379,0.01,1.541,-6.071,-7.9,-7.9,2.3,4.6,-5.84,0,2.336,-0.0249,0.012,0.012,0.012,Ordinary Share,Ordinary Share,17.2,0.25,5.7,3.9,0
22.05.2019,3399859040,Puls AS,Mediq International BV,No,No,No,Friendly,Yes,No,Acq. of Assets,0,100,0,0,100,100,No,No,No,No,No,No,No,0,12.104,Healthcare Equipment & Supplies,Healthcare Equipment & Supplies,Healthcare,Healthcare,Netherlands,NT,Norway,NO,Sub.,Sub.,12.104,,,,43.492,10.465,10.3,7.9,10.5,17.4,11.975,,10.546,,,,,"Cash Only, Cash Only",Assets,13.8,1.75,2.3,4.6,0
19.08.2024,4274566040,Mico Biomed Co Ltd,Investor Group,No,No,No,Neutral,No,No,Acq. Part. Int.,0,0,0,100,24.3,24.3,No,No,No,No,No,No,No,1,12.207,Other Financials,Healthcare Equipment & Supplies,Financials,Healthcare,South Korea,SK,South Korea,SK,Public,Priv.,12.207,54.31,49.152,1.16,5.237,-16.966,-21,-21,17.3,30.9,-15.4,0.4,16.1,-0.5808,1.723,1.422,1.031,Cash Only,Ordinary Share,15.5,4.5,2.8,7,0
22.07.2015,2941977040,Sewoon Medical Co Ltd,Franklin Templeton Invest Tr,No,No,No,Friendly,No,No,Acq. Part. Int.,0,0,0,100,5.1,5.1,No,No,No,No,No,No,No,0,12.255,Asset Management,Healthcare Equipment & Supplies,Financials,Healthcare,South Korea,SK,South Korea,SK,Public,Sub.,12.255,240.284,248.197,5.59,49.252,8.702,7.5,5.8,60.3,69.2,10.829,1.4,59.356,0.1333,5.536,5.404,5.85,"Cash Only, Cash Only",Newly Issued Ord Sh,16.9,0.25,3.1,5.5,0
11.07.2016,2983426040,Kent Periscopes Ltd,Gooch & Housego PLC,No,No,No,Friendly,No,No,Merger,73.68,26.32,0,0,100,100,No,No,No,No,No,Yes,No,0,12.294,Healthcare Equipment & Supplies,Healthcare Equipment & Supplies,Healthcare,Healthcare,United Kingdom,UK,United Kingdom,UK,Priv.,Public,12.294,8.717,13.751,,11.152,1.605,1.6,1.3,4.3,10.2,1.659,,4.302,,,,,"Cash, Earnout","Stock, Assets",14,0.75,1.6,4.8,0
22.02.2017,3073427040,Metrax GmbH,Jiangsu Yuyue Med Equip,No,No,No,Friendly,Yes,No,Acq. of Assets,0,100,0,0,100,100,No,No,No,No,No,No,No,0,12.33,Healthcare Equipment & Supplies,Healthcare Equipment & Supplies,Healthcare,Healthcare,China,CH,Germany,WG,Sub.,Public,12.33,,,,18.756,1.15,1.2,0.1,4.4,9,1.462,,4.423,,,,,"Cash Only, Cash Only",Assets,11,1.5,2.4,4.6,0
20.11.2023,4159382040,Mediana Co Ltd,Investor Group,No,No,No,Friendly,No,No,Acq. Part. Int.,0,0,0,100,14,14,No,No,No,No,No,No,No,0,12.968,Other Financials,Healthcare Equipment & Supplies,Financials,Healthcare,South Korea,SK,South Korea,SK,Public,Priv.,12.968,37.67,76.231,4.99,60.338,8.982,8.8,6.3,72.8,82,10.137,4.6,72.775,0.3945,6.088,4.571,3.986,Cash Only,Newly Issued Ord Sh,21.7,5.33,2.9,7.5,0
08.06.2023,4090324040,Zhejiang Fuli Analytical Instr,Investor Group,No,No,No,Friendly,No,No,Acq. Part. Int.,0,100,0,0,23.2,23.2,Yes,No,No,No,No,No,No,0,13.018,Other Financials,Healthcare Equipment & Supplies,Financials,Healthcare,China,CH,China,CH,Priv.,Priv.,13.018,58.343,61.479,,14.91,2.813,2.7,2.3,8.5,14.8,3.194,,8.434,,,,,Cash Only,Stock,21.7,5.33,2.9,7.5,0
29.05.2024,4241987040,WSI Co Ltd,Investor Group,No,No,No,Friendly,No,No,Acq. Part. Int.,100,0,0,0,21.7,21.7,No,No,No,No,No,No,No,0,13.065,Other Financials,Healthcare Equipment & Supplies,Financials,Healthcare,South Korea,SK,South Korea,SK,Public,Priv.,13.065,62.147,60.94,1.57,23.361,2.361,2.1,1.6,30.3,43.7,2.834,1,30.245,0.0542,1.505,1.473,1.34,Cash Only,Convertible Bond,15.5,4.5,2.8,7,0
08.07.2021,3769249040,Sugentech Inc,Investor Group,No,No,No,Friendly,No,No,Acq. Part. Int.,0,0,0,100,4.6,4.6,No,No,No,No,No,No,No,0,13.14,Other Financials,Healthcare Equipment & Supplies,Financials,Healthcare,South Korea,SK,South Korea,SK,Public,Priv.,13.14,251.35,274.651,17.78,30.067,8.056,-16.5,-17.2,61,68.2,9.057,4,60.958,-1.2081,20.587,20.409,17.036,"Cash Only, Cash Only",Convert. Preferred,17.2,0.25,5.7,3.9,0
03.11.2020,3655915040,Corentec Co Ltd,Investor Group,No,No,No,Friendly,No,No,Acq. Part. Int.,0,0,0,100,13.7,13.7,No,No,No,No,No,No,No,0,13.24,Other Financials,Healthcare Equipment & Supplies,Financials,Healthcare,South Korea,SK,South Korea,SK,Public,Priv.,13.24,113.167,93.786,7.86,33.69,2.883,1,2.4,27.2,58.7,4.268,2.6,27.243,0.233,7.917,7.306,7.936,"Cash Only, Cash Only",Convertible Bond,26.9,0.25,-3.4,9.7,1
02.10.2023,4140808020,Process Instruments Inc,HORIBA Instruments Inc,No,No,No,Friendly,No,No,Acq. of Assets,0,100,0,0,100,100,No,No,No,No,No,No,No,0,13.391,Healthcare Equipment & Supplies,Healthcare Equipment & Supplies,Healthcare,Healthcare,United States,US,United States,US,Priv.,Sub.,13.391,,,,4.541,0.595,,0.9,7.8,8,,,7.838,,,,,Cash Only,Assets,21.7,5.33,2.9,7.5,0
13.03.2023,4052338040,iQ Medical Srl,Cardiva SL,No,No,No,Friendly,No,No,Acq. Maj. Int.,100,100,0,0,70,70,No,No,No,No,No,No,No,0,10.471,Healthcare Equipment & Supplies,Healthcare Equipment & Supplies,Healthcare,Healthcare,Spain,SP,Italy,IT,Priv.,Priv.,13.41,16.308,19.264,,14.378,2.587,2.5,1.6,5.9,14.6,2.829,,5.899,,,,,Cash Only,Stock,21.7,5.33,2.9,7.5,0
23.01.2025,4366103040,Rf Med Co Ltd,Investor Group,No,No,No,Friendly,No,No,Acq. Part. Int.,0,100,0,0,25,25,No,No,No,No,No,No,No,0,13.936,Other Financials,Healthcare Equipment & Supplies,Financials,Healthcare,South Korea,SK,South Korea,SK,Sub.,Priv.,13.936,58.204,63.446,,11.709,0.498,3.8,3.2,13.2,15.1,,,12.744,,,,,Cash Only,Stock,30.89,4.33,1.9,8,0
20.06.2019,3419450040,Look Optics Co Ltd,SEOULEAGUER CO LTD,No,No,No,Friendly,No,No,Acq. Maj. Int.,0,100,0,0,50,50,No,No,No,No,No,No,No,0,14.262,Other Industrials,Healthcare Equipment & Supplies,Industrials,Healthcare,South Korea,SK,South Korea,SK,Priv.,Public,14.262,44.315,29.993,,59.483,2.803,2.1,2.1,27.8,56.7,4.054,,28.482,,,,,"Cash Only, Cash Only",Stock,13.8,1.75,2.3,4.6,0
07.02.2024,4198116040,Wuxi Unicomp Technology Co Ltd,Wuxi Unicomp Technology Co Ltd,No,No,No,Not Appl.,No,No,Buyback,100,0,0,0,,,No,Yes,No,No,Yes,No,No,0,14.352,Healthcare Equipment & Supplies,Healthcare Equipment & Supplies,Healthcare,Healthcare,China,CH,China,CH,Public,Public,14.352,,,,82.757,10.364,18.1,16.1,459.9,502.4,13.716,5.8,459.921,0.2027,8.633,9.323,12.463,Cash Only,Ordinary Share,15.5,4.5,2.8,7,0
06.01.2016,2886698040,Digital Optics Co Ltd,Gyesin Intl Grp Pte Eq Invest,No,No,No,Friendly,No,No,Acq. Part. Int.,0,0,0,100,9.3,9.3,No,No,No,No,No,No,No,1,14.364,Other Financials,Healthcare Equipment & Supplies,Financials,Healthcare,South Korea,SK,South Korea,SK,Public,Priv.,14.364,172.753,138.741,8.11,60.177,-11.24,-12,-9.2,73.8,137.7,-5.31,4,67.98,-0.7147,9.282,8.67,15.415,"Cash Only, Cash Only",Newly Issued Ord Sh,14,0.75,1.6,4.8,0
16.12.2024,4336505040,MEM Dental Technology Co Ltd,Investor Group,No,No,No,Friendly,No,No,Acq. Part. Int.,100,0,0,100,30,30,No,No,Yes,No,Yes,No,No,0,14.49,Other Financials,Healthcare Equipment & Supplies,Financials,Healthcare,Taiwan,TW,Taiwan,TW,Public,Priv.,14.49,35.886,41.992,2.05,9.506,2.274,2.8,2.3,12.9,16.8,2.94,0.6,12.921,0.1109,1.806,1.728,1.746,Cash Only,Ordinary Share,15.5,4.5,2.8,7,0
13.10.2021,3815549020,Contech Medical Inc,UFP Technologies Inc,No,No,No,Friendly,No,No,Merger,65.52,34.48,0,0,100,100,No,No,No,No,No,No,No,0,16.083,Containers & Packaging,Healthcare Equipment & Supplies,Materials,Healthcare,United States,US,United States,US,Priv.,Public,14.5,16.083,14.5,,16.004,1.428,,1.5,2.4,5.2,,,2.366,,,,,"Cash, Earnout","Stock, Stock",17.2,0.25,5.7,3.9,0
04.09.2018,3291566040,Geo Med Co Ltd,Star Vision Co Ltd,No,No,No,Friendly,No,No,Acq. Maj. Int.,0,100,0,0,60.7,60.7,No,No,No,No,No,No,No,0,14.575,Other Retailing,Healthcare Equipment & Supplies,Retail,Healthcare,South Korea,SK,South Korea,SK,Priv.,Sub.,14.575,25.043,25.043,,16.711,0.848,0.5,0.5,4.6,19.7,,,4.596,,,,,"Cash Only, Cash Only",Stock,15.5,2.5,2.9,4.4,0
19.11.2024,4373304040,Synsam AB,Synsam AB,No,No,No,Not Appl.,No,No,Buyback,100,0,0,0,,,No,Yes,No,No,No,No,No,0,14.68,Healthcare Equipment & Supplies,Healthcare Equipment & Supplies,Healthcare,Healthcare,Sweden,SW,Sweden,SW,Public,Public,14.68,1379.419,1106.658,,618.587,78.185,46.5,34.5,246.9,801.8,153.219,1.7,246.864,0.233,3.945,4.123,4.656,Cash Only,Ordinary Share,15.5,4.5,2.8,7,0
28.08.2014,2668554020,Corgenix Medical Corp,ORGENTEC Diagnostika GmbH,No,No,No,Friendly,No,No,Merger,100,0,0,0,100,100,No,No,No,No,No,No,No,0,12.743,Healthcare Equipment & Supplies,Healthcare Equipment & Supplies,Healthcare,Healthcare,Germany,WG,United States,US,Public,Sub.,14.931,12.4,14.588,0.27,11.012,0.4,0.4,0.4,6.2,7.8,0.692,0.1,6.215,0.0072,0.341,0.38,0.33,"Cash, Cash","Common Stock, Option",16.6,0.25,2.5,5.5,0
24.09.2024,4292020040,Motiva Korea Co Ltd,Incredible Daebu Co Ltd,No,No,No,Friendly,No,No,Acq. Part. Int.,0,100,0,0,21.9,21.9,No,No,No,No,No,No,No,0,14.996,Other Financials,Healthcare Equipment & Supplies,Financials,Healthcare,South Korea,SK,South Korea,SK,Sub.,Sub.,14.996,68.149,72.422,,26.398,8.853,8.3,6.5,18.9,28.1,9.464,,18.911,,,,,Cash Only,Stock,15.5,4.5,2.8,7,0
29.12.2023,4180327040,ISDI Ltd,Careray Imagination Pte Ltd,No,No,No,Friendly,No,No,Acq. Part. Int.,0,100,0,0,30,30,No,No,No,No,No,No,No,0,15.276,Other Financials,Healthcare Equipment & Supplies,Financials,Healthcare,Singapore,SG,United Kingdom,UK,Priv.,Sub.,15.276,50.262,49.748,,29.252,2.239,2.1,2.1,8.3,21.1,2.571,,8.309,,,,,Cash Only,Stock,21.7,5.33,2.9,7.5,0
27.05.2024,4239688040,Optrontec Inc,Investor Group,No,No,No,Friendly,No,No,Acq. Part. Int.,100,0,0,0,16.7,16.7,No,No,No,No,No,No,No,0,15.374,Other Financials,Healthcare Equipment & Supplies,Financials,Healthcare,South Korea,SK,South Korea,SK,Public,Priv.,15.374,190.554,90.199,2.9,194.681,21.443,6.3,6.1,31.6,186.7,30.584,1.3,32.611,0.2717,2.76,2.952,3.143,Cash Only,Convertible Bond,15.5,4.5,2.8,7,0
11.01.2021,3699113040,T&S Communications Co Ltd,T&S Communications Co Ltd,No,No,No,Not Appl.,No,No,Buyback,100,0,0,0,,,No,Yes,No,No,Yes,No,No,0,15.424,Healthcare Equipment & Supplies,Healthcare Equipment & Supplies,Healthcare,Healthcare,China,CH,China,CH,Public,Public,15.424,,,,87.914,12.536,12.8,11.1,199.2,219.4,16.909,0.9,197.182,0.0504,2.286,2.686,3.073,"Cash Only, Cash Only",Ordinary Share,17.2,0.25,5.7,3.9,0
15.06.2022,3935602040,Akern Srl,Pharmanutra SpA,No,No,No,Friendly,Yes,No,Merger,80,20,0,0,100,100,No,No,No,No,No,No,No,0,15.621,Biotechnology,Healthcare Equipment & Supplies,Healthcare,Healthcare,Italy,IT,Italy,IT,Sub.,Public,15.621,14.512,15.665,,4.671,0.992,1,0.7,2.1,4.7,1.294,,2.077,,,,,"Cash, Earnout","Stock, Stock",22.5,4.25,2.1,4.5,0
23.07.2021,3776995040,WSI Co Ltd,Investor Group,No,No,No,Friendly,No,No,Acq. Part. Int.,0,0,0,100,16.1,16.1,No,No,No,No,No,No,No,0,15.905,Other Financials,Healthcare Equipment & Supplies,Financials,Healthcare,South Korea,SK,South Korea,SK,Public,Priv.,15.905,88.366,100.709,2.84,35.351,7.774,2,0.5,24,27.3,8.152,0.8,23.97,0.0091,2.777,2.887,2.892,"Cash Only, Cash Only",Convertible Bond,17.2,0.25,5.7,3.9,0
25.06.2019,3420032040,Jiangxi Sanxin Medtec Co Ltd,AVIC Trust Co Ltd,No,No,No,Neutral,No,No,Acq. Part. Int.,0,0,0,100,6.1,6.1,No,No,No,No,No,No,No,0,15.972,Other Financials,Healthcare Equipment & Supplies,Financials,Healthcare,China,CH,China,CH,Public,J.V.,15.972,172.066,162.24,1,81.55,6.767,6.8,5.9,92.4,127.5,11.28,0.6,91.432,0.0371,1.07,0.997,1.061,"Cash Only, Cash Only",Ordinary Share,13.8,1.75,2.3,4.6,0
23.02.2023,4044827040,Crystalvue Medical Corp,AUO Display Plus Corp,No,No,No,Friendly,No,No,Acq. Part. Int.,100,0,0,0,30,30,No,No,No,No,No,No,No,1,15.99,Electronics,Healthcare Equipment & Supplies,High Technology,Healthcare,Taiwan,TW,Taiwan,TW,Public,Sub.,15.99,47.012,51.824,2.2,26.015,4.082,4.7,3.8,25.4,33.1,4.937,1.1,25.367,0.1577,2.002,1.846,0,Cash Only,Ordinary Share,21.7,5.33,2.9,7.5,0
21.06.2023,4098989040,Pregna International Ltd,India Life Sciences Fund III,No,No,No,Friendly,No,No,Acq. Part. Int.,0,100,0,0,,,No,No,No,No,No,No,No,0,16,Other Financials,Healthcare Equipment & Supplies,Financials,Healthcare,Mauritius,MV,India,IN,Priv.,Sub.,16,,,,10.343,4.492,4.9,3.4,7.8,9.9,4.66,12.2,7.822,8.8485,,,,Cash Only,Stock,21.7,5.33,2.9,7.5,0
16.12.2014,2708013040,OTO Holdings Ltd,Tempus Hldg (Hong Kong) Ltd,No,No,No,Friendly,No,No,Acq. Part. Int.,100,0,0,0,44.3,100,Yes,No,No,No,No,No,No,0,16.005,Other Financials,Healthcare Equipment & Supplies,Financials,Healthcare,Hong Kong,HK,Hong Kong,HK,Public,Sub.,16.005,60.965,86.172,0.27,48.301,1.448,1.8,1.3,35.5,43,2.449,0.1,35.469,0.004,0.248,0.248,0.22950297,"Cash, Cash","Ordinary Share, Option",16.6,0.25,2.5,5.5,0
